batting_id,match_id,team_id,player_id,runs_scored,balls_faced,fours,sixes,strike_rate,dismissal_type,bowler_id
1,1,1,1,9,9,0,1,100.0,run out (Michel Assuncao/Lucas Maximo),
2,1,1,2,2,3,0,0,66.67,b Riquelmi Nascimento,20
3,1,1,3,37,32,3,1,115.62,c Lucas Maximo b Luiz Gabriel,23
4,1,1,4,25,22,3,0,113.64,c Chrystian Machado b Luiz Gabriel,23
5,1,1,5,8,10,0,1,80.0,c Michel Assuncao b Yasar Haroon,22
6,1,1,6,27,25,2,1,108.0,st Lucas Maximo b Luiz Muller,17
7,1,1,7,20,18,2,0,111.11,not out,
8,1,1,8,1,2,0,0,50.0,not out,
9,1,2,17,26,20,3,1,130.0,c Gurpreet Singh b Pratik Singh,24
10,1,2,19,54,56,2,2,96.43,not out,
11,1,2,22,36,35,4,1,102.86,c Devon Ebersohn b Amir Butt,5
12,1,2,12,2,4,0,0,50.0,c Jayanth Byrappa b Amir Butt,5
13,1,2,21,1,3,0,0,33.33,c Dhananjaya Panda b Devjani Mutreja,9
14,1,2,16,6,2,1,0,300.0,not out,
15,2,3,36,25,23,4,0,108.7,c Hujeifa Jangariya b Umair Qasim,35
16,2,3,37,38,28,5,1,135.71,b Mancoba Jele,28
17,2,3,38,39,34,3,0,114.71,c and b Adil Butt,25
18,2,3,39,24,15,0,2,160.0,b Melusi Magagula,29
19,2,3,40,9,8,1,0,112.5,c Mancoba Jele b Melusi Magagula,29
20,2,3,41,18,11,2,0,163.64,not out,
21,2,3,45,3,2,0,0,150.0,not out,
22,2,4,25,35,28,5,1,125.0,c Judah Solomon b Isaac Aboagye,40
23,2,4,35,2,17,0,0,11.76,c Vincent Ateak b Isaac Aboagye,40
24,2,4,29,12,12,2,0,100.0,c and b Obed Harvey,38
25,2,4,32,5,11,0,0,45.45,b Isaac Aboagye,40
26,2,4,27,7,8,1,0,87.5,c Isaac Aboagye b Bharani Majji,47
27,2,4,30,13,17,1,0,76.47,c Richmond Baaleri b Nitesh,45
28,2,4,26,9,5,2,0,180.0,c Isaac Aboagye b Vincent Ateak,46
29,2,4,31,1,2,0,0,50.0,c Isaac Aboagye b Bharani Majji,47
30,2,4,34,4,5,1,0,80.0,c Ayushmaan Mishra b Nitesh,45
31,2,4,28,1,2,0,0,50.0,not out,
32,2,4,33,0,1,0,0,0.0,c Jayant Gautam b Bharani Majji,47
33,3,5,48,2,4,0,0,50.0,c Bright Balala b Daniel Jakiel,62
34,3,5,49,18,34,2,0,52.94,c Gift Kansonkho b Kelvin Thuchila,65
35,3,5,54,0,1,0,0,0.0,lbw b Daniel Jakiel,62
36,3,5,53,50,53,7,0,94.34,b Sami Sohail,67
37,3,5,56,8,9,1,0,88.89,lbw b Mike Choamba,66
38,3,5,58,11,10,2,0,110.0,b Sami Sohail,67
39,3,5,50,0,1,0,0,0.0,b Sami Sohail,67
40,3,5,51,13,7,2,0,185.71,not out,
41,3,5,52,2,1,0,0,200.0,not out,
42,3,6,63,12,8,1,1,150.0,b Lalji Hirani,70
