batting_id,match_code,team_name,player_name,runs_scored,balls_faced,fours,sixes,strike_rate,dismissal_type,bowler_name
1,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,willem myburgh,43,69,1,0,62.32,b Jiten Ramanandi,jiten ramanandi
2,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,malan kruger,21,44,1,1,47.73,c Jatinder Singh b Hassnain Shah,hassnain shah
3,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,jan frylinck,13,29,0,0,44.83,c Vinayak Shukla b Hassnain Shah,hassnain shah
4,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,gerhard erasmus,54,55,4,1,98.18,c Pruthvikumar Macchi b Shakeel Ahmed,shakeel ahmed
5,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,louren steenkamp,32,48,2,0,66.67,c Hammad Mirza b Shakeel Ahmed,shakeel ahmed
6,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,jj smit,24,17,0,3,141.18,c Mujibur Ali b Wasim Ali,wasim ali
7,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,zane green,42,22,6,1,190.91,c Vinayak Shukla b Hassnain Shah,hassnain shah
8,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,dylan leicher,30,17,2,1,176.47,not out,
9,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,bernard scholtz,1,1,0,0,100.0,not out,
10,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,jatinder singh,11,29,1,0,37.93,c Jack Brassell b Max Heingo,max heingo
11,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,pruthvikumar macchi,7,10,1,0,70.0,c Gerhard Erasmus b Max Heingo,max heingo
12,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,shakeel ahmed,17,27,1,0,62.96,c Malan Kruger b Gerhard Erasmus,gerhard erasmus
13,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,hammad mirza,112,128,12,1,87.5,not out,
14,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,mujibur ali,43,42,7,0,102.38,c Dylan Leicher b Jack Brassell,jack brassell
15,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,jiten ramanandi,0,1,0,0,0.0,c Zane Green b Jack Brassell,jack brassell
16,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,wasim ali,62,49,3,2,126.53,c Jan Frylinck b Max Heingo,max heingo
17,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,vinayak shukla,11,9,1,0,122.22,b Gerhard Erasmus,gerhard erasmus
18,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,hassnain shah,0,0,0,0,0.0,not out,
