bowling_id,match_code,team_name,player_name,overs,runs_conceded,wickets,economy
1,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,shah faisal,10.0,61,0,6.1
2,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,shakeel ahmed,10.0,31,2,3.1
3,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,mujibur ali,10.0,42,0,4.2
4,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,hassnain shah,8.0,58,3,7.2
5,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,jay odedra,5.0,27,0,5.4
6,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,jiten ramanandi,5.0,26,1,5.2
7,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,wasim ali,2.0,22,1,11.0
8,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,jj smit,10.0,49,0,4.9
9,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,max heingo,9.1,59,3,6.4
10,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,jack brassell,10.0,61,2,6.1
11,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,dylan leicher,1.0,5,0,5.0
12,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,gerhard erasmus,9.0,54,2,6.0
13,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,bernard scholtz,10.0,44,0,4.4
14,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,willem myburgh,0.0,0,0,0.0
15,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,malan kruger,0.0,0,0,0.0
16,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,jan frylinck,0.0,0,0,0.0
17,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,louren steenkamp,0.0,0,0,0.0
18,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Namibia,zane green,0.0,0,0,0.0
19,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,jatinder singh,0.0,0,0,0.0
20,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,pruthvikumar macchi,0.0,0,0,0.0
21,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,hammad mirza,0.0,0,0,0.0
22,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,Oman,vinayak shukla,0.0,0,0,0.0
23,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Mexico,luiz morais,2.0,16,0,8.0
24,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Mexico,yasar haroon,2.0,10,0,5.0
25,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Mexico,riquelmi nascimento,3.0,20,2,6.7
26,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Mexico,gabriel oliveira,4.0,23,2,5.8
27,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Mexico,luiz gabriel moras,4.0,23,1,5.8
28,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Mexico,luiz muller,1.0,10,1,10.0
29,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Mexico,luiz goncalves,2.0,7,3,3.5
30,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Brazil,sumeet lahiri,2.0,23,0,11.5
31,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Brazil,pratik singh bais,2.0,22,0,11.0
32,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Brazil,amir butt,1.0,13,0,13.0
33,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Brazil,dhananjaya panda,1.0,18,0,18.0
34,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Brazil,gurpreet singh,3.0,14,3,4.7
35,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Brazil,jayanth byrappa,2.0,17,0,8.5
36,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Brazil,devjani mutreja,0.2,6,0,18.0
37,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Mexico,shantanu kaveri,0.0,0,0,0.0
38,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Mexico,kashigoud patil,0.0,0,0,0.0
39,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Mexico,shubhang sharma,0.0,0,0,0.0
40,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Mexico,devon ebersohn,0.0,0,0,0.0
41,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Brazil,michel assuncao,0.0,0,0,0.0
42,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Brazil,chrystian machado,0.0,0,0,0.0
43,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Brazil,william maximo,0.0,0,0,0.0
44,mex-vs-brazil-final-mexico-t20i-tri-series-2026,Brazil,breno passoni,0.0,0,0,0.0
45,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Costa Rica,matthew noble,4.0,16,1,4.0
