match_id,event_name,match_code,match_number,team1,team2,venue,city,country,match_date,match_time,toss_winner,toss_decision,match_status,winner,result_text,player_of_match
1,ICC CRICKET WORLD CUP LEAGUE TWO 2023-27,nam-vs-oman-93rd-match-icc-cricket-world-cup-league-two-2023-27,93rd Match,Namibia,Oman,Wanderers Cricket Ground,Windhoek,Namibia,2023-04-04,"9:30 AM LOCAL, 7:30 AM GMT, 12:30 AM PT, 3:30 AM ET",Oman,field,completed,Oman,Oman won by 3 wkts,hammad mirza
2,ICC CRICKET WORLD CUP LEAGUE TWO 2023-27,sco-vs-oman-92nd-match-icc-cricket-world-cup-league-two-2023-27,92nd Match,Scotland,Oman,Wanderers Cricket Ground,Windhoek,Namibia,2023-04-02,"9:30 AM LOCAL, 7:30 AM GMT, 12:30 AM PT, 3:30 AM ET",,,abandoned,,,
3,"MEXICO T20I TRI-SERIES, 2026",mex-vs-brazil-final-mexico-t20i-tri-series-2026,Final,Mexico,Brazil,Reforma Athletic Club,Naucalpan,Mexico,2026-04-05,"10:00 AM LOCAL, 4:00 PM GMT, 9:00 AM PT, 12:00 PM ET",Mexico,bat,completed,Brazil,Brazil won by 7 wkts,luiz morais
4,"MEXICO T20I TRI-SERIES, 2026",cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,6th Match,Costa Rica,Mexico,Reforma Athletic Club,Naucalpan,Mexico,2026-04-04,"2:00 PM LOCAL, 8:00 PM GMT, 1:00 PM PT, 4:00 PM ET",Costa Rica,bat,completed,Mexico,Mexico won by 8 wkts,sumeet lahiri
5,"MEXICO T20I TRI-SERIES, 2026",brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,5th Match,Brazil,Costa Rica,Reforma Athletic Club,Naucalpan,Mexico,2026-04-04,"9:00 AM LOCAL, 3:00 PM GMT, 8:00 AM PT, 11:00 AM ET",Costa Rica,field,completed,Brazil,Brazil won by 69 runs,joel cutinho
6,"MEXICO T20I TRI-SERIES, 2026",mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,4th Match,Mexico,Brazil,Reforma Athletic Club,Naucalpan,Mexico,2026-04-03,"2:00 PM LOCAL, 8:00 PM GMT, 1:00 PM PT, 4:00 PM ET",Brazil,field,completed,Mexico,Mexico won by 16 runs,sumeet lahiri
7,"MEXICO T20I TRI-SERIES, 2026",cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,3rd Match,Costa Rica,Brazil,Reforma Athletic Club,Naucalpan,Mexico,2026-04-03,"9:00 AM LOCAL, 3:00 PM GMT, 8:00 AM PT, 11:00 AM ET",Costa Rica,bat,completed,Brazil,Brazil won by 10 wkts,luiz morais
8,"MEXICO T20I TRI-SERIES, 2026",mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,2nd Match,Mexico,Costa Rica,Reforma Athletic Club,Naucalpan,Mexico,2026-04-02,"2:00 PM LOCAL, 8:00 PM GMT, 1:00 PM PT, 4:00 PM ET",Mexico,bat,completed,Mexico,Mexico won by 124 runs,dhananjaya panda
9,"MEXICO T20I TRI-SERIES, 2026",mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,1st Match,Mexico,Brazil,Reforma Athletic Club,Naucalpan,Mexico,2026-04-02,"9:00 AM LOCAL, 3:00 PM GMT, 8:00 AM PT, 11:00 AM ET",Brazil,field,completed,Mexico,Mexico won by 23 runs,
10,"PORTUGAL T20I TRI-SERIES, 2026",fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,2nd Match,France,Portugal,Santarem Cricket Ground,Albergaria,Portugal,2026-04-05,"2:00 PM LOCAL, 1:00 PM GMT, 6:00 AM PT, 9:00 AM ET",France,bat,completed,Portugal,Portugal won by 6 wkts,jeremy martins
11,"PORTUGAL T20I TRI-SERIES, 2026",nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,1st Match,Norway,France,Santarem Cricket Ground,Albergaria,Portugal,2026-04-05,"10:00 AM LOCAL, 9:00 AM GMT, 2:00 AM PT, 5:00 AM ET",Norway,bat,completed,Norway,Norway won by 10 runs,kuruge abeyrathna
